,alpha-acc,Conditions
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,0.8666666666666667,CY25-1
MAGNet,0.7142857142857143,CY25-1
MAGNet,0.7307692307692308,CY25-1
MAGNet,0.9583333333333333,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,1.0,CY25-1
MAGNet,0.9612068965517242,CY25-05
MAGNet,0.9826086956521739,CY25-05
MAGNet,0.9868421052631579,CY25-05
MAGNet,0.9823008849557522,CY25-05
MAGNet,0.9642857142857143,CY25-05
MAGNet,0.9594594594594594,CY25-05
MAGNet,0.9545454545454546,CY25-05
MAGNet,0.9541284403669725,CY25-05
MAGNet,0.9490740740740741,CY25-05
MAGNet,0.9532710280373832,CY25-05
MAGNet,0.9575471698113207,CY25-05
MAGNet,0.9476190476190476,CY25-05
MAGNet,0.9471153846153846,CY25-05
MAGNet,0.9466019417475728,CY25-05
MAGNet,0.9509803921568627,CY25-05
MAGNet,0.9356435643564356,CY25-05
MAGNet,0.945,CY25-05
MAGNet,0.9494949494949495,CY25-05
MAGNet,0.9540816326530612,CY25-05
MAGNet,0.9432989690721649,CY25-05
MAGNet,0.9375,CY25-05
MAGNet,0.9315789473684211,CY25-05
MAGNet,0.9308510638297872,CY25-05
MAGNet,0.9247311827956989,CY25-05
MAGNet,0.9239130434782609,CY25-05
MAGNet,0.9065934065934066,CY25-05
MAGNet,0.9055555555555556,CY25-05
MAGNet,0.9044943820224719,CY25-05
MAGNet,0.8920454545454546,CY25-05
MAGNet,0.896551724137931,CY25-05
MAGNet,0.8953488372093024,CY25-05
MAGNet,0.9,CY25-05
MAGNet,0.9047619047619048,CY25-05
MAGNet,0.9036144578313252,CY25-05
MAGNet,0.8963414634146342,CY25-05
MAGNet,0.8765432098765432,CY25-05
MAGNet,0.8500000000000001,CY25-05
MAGNet,0.8481012658227849,CY25-05
MAGNet,0.8397435897435898,CY25-05
MAGNet,0.8311688311688312,CY25-05
MAGNet,0.8355263157894737,CY25-05
MAGNet,0.8400000000000001,CY25-05
MAGNet,0.8445945945945946,CY25-05
MAGNet,0.8356164383561644,CY25-05
MAGNet,0.8333333333333333,CY25-05
MAGNet,0.8309859154929577,CY25-05
MAGNet,0.8285714285714285,CY25-05
MAGNet,0.8260869565217391,CY25-05
MAGNet,0.8161764705882353,CY25-05
MAGNet,0.8208955223880596,CY25-05
MAGNet,0.8181818181818181,CY25-05
MAGNet,0.8153846153846154,CY25-05
MAGNet,0.8125,CY25-05
MAGNet,0.8095238095238095,CY25-05
MAGNet,0.8064516129032258,CY25-05
MAGNet,0.8114754098360656,CY25-05
MAGNet,0.7916666666666667,CY25-05
MAGNet,0.788135593220339,CY25-05
MAGNet,0.7844827586206897,CY25-05
MAGNet,0.7982456140350878,CY25-05
MAGNet,0.7946428571428572,CY25-05
MAGNet,0.790909090909091,CY25-05
MAGNet,0.7685185185185186,CY25-05
MAGNet,0.7547169811320755,CY25-05
MAGNet,0.75,CY25-05
MAGNet,0.7647058823529411,CY25-05
MAGNet,0.78,CY25-05
MAGNet,0.8061224489795918,CY25-05
MAGNet,0.8020833333333333,CY25-05
MAGNet,0.8191489361702127,CY25-05
MAGNet,0.8152173913043479,CY25-05
MAGNet,0.8111111111111111,CY25-05
MAGNet,0.8068181818181819,CY25-05
MAGNet,0.8255813953488372,CY25-05
MAGNet,0.8214285714285714,CY25-05
MAGNet,0.8170731707317074,CY25-05
MAGNet,0.8,CY25-05
MAGNet,0.782051282051282,CY25-05
MAGNet,0.8289473684210527,CY25-05
MAGNet,0.7432432432432432,CY25-05
MAGNet,0.8194444444444444,CY25-05
MAGNet,0.8428571428571429,CY25-05
MAGNet,0.8823529411764706,CY25-05
MAGNet,0.8939393939393939,CY25-05
MAGNet,0.90625,CY25-05
MAGNet,0.935483870967742,CY25-05
MAGNet,0.95,CY25-05
MAGNet,0.9827586206896552,CY25-05
MAGNet,0.9464285714285714,CY25-05
MAGNet,0.9814814814814814,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,0.960431654676259,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
MAGNet,1.0,CY25-05
