Condition,Average alpha accuracy
6C(20%)-4.5C,0.9143210442345603
4.9C(27%)-4.75C,0.9553715999746422
6C(40%)-4C,0.9734052410528261
5.2C(71%)-3C,0.9527550785257315
5.6C(47%)-4C,0.8718619660990332
5.6C(58%)-3.5C,0.9513030521654441
4C(31%)-5C,0.9699775469882436
6C(31%)-4.25C,0.9723805544515138
4.4C(55%)-6C,0.9692413745040239
3.6C(22%)-5.5C,0.9608152898559487
6C(52%)-3.5C,0.9798122713884716
5.6C(65%)-3C,0.9302277942794727
2C(2%)-5C,0.7665735507211776
1C(4%)-6C,0.8832107523267219
2C(7%)-5.5C,0.6198866169715024
2C(10%)-6C,0.730294004242168
