,alpha-acc,cell policy
MAGNet,0.9198645598194131,6C(20%)-4.5C
MAGNet,0.9106334841628959,6C(20%)-4.5C
MAGNet,0.8344671201814059,6C(20%)-4.5C
MAGNet,0.8738636363636363,6C(20%)-4.5C
MAGNet,0.8462414578587699,6C(20%)-4.5C
MAGNet,0.9052511415525114,6C(20%)-4.5C
MAGNet,0.8844393592677346,6C(20%)-4.5C
MAGNet,0.9185779816513762,6C(20%)-4.5C
MAGNet,0.8885057471264368,6C(20%)-4.5C
MAGNet,0.8917050691244239,6C(20%)-4.5C
MAGNet,0.9503464203233256,6C(20%)-4.5C
MAGNet,0.9409722222222222,6C(20%)-4.5C
MAGNet,0.9559164733178653,6C(20%)-4.5C
MAGNet,0.9465116279069767,6C(20%)-4.5C
MAGNet,0.9487179487179487,6C(20%)-4.5C
MAGNet,0.9485981308411215,6C(20%)-4.5C
MAGNet,0.9414519906323184,6C(20%)-4.5C
MAGNet,0.841549295774648,6C(20%)-4.5C
MAGNet,0.928235294117647,6C(20%)-4.5C
MAGNet,0.9186320754716981,6C(20%)-4.5C
MAGNet,0.8416075650118203,6C(20%)-4.5C
MAGNet,0.9348341232227488,6C(20%)-4.5C
MAGNet,0.9299287410926366,6C(20%)-4.5C
MAGNet,0.8452380952380952,6C(20%)-4.5C
MAGNet,0.9355608591885441,6C(20%)-4.5C
MAGNet,0.8624401913875598,6C(20%)-4.5C
MAGNet,0.7709832134292567,6C(20%)-4.5C
MAGNet,0.8185096153846154,6C(20%)-4.5C
MAGNet,0.7819277108433735,6C(20%)-4.5C
MAGNet,0.9190821256038648,6C(20%)-4.5C
MAGNet,0.9334140435835352,6C(20%)-4.5C
MAGNet,0.9259708737864079,6C(20%)-4.5C
MAGNet,0.9184914841849148,6C(20%)-4.5C
MAGNet,0.921951219512195,6C(20%)-4.5C
MAGNet,0.8276283618581908,6C(20%)-4.5C
MAGNet,0.8897058823529411,6C(20%)-4.5C
MAGNet,0.9287469287469288,6C(20%)-4.5C
MAGNet,0.9224137931034483,6C(20%)-4.5C
MAGNet,0.9555555555555555,6C(20%)-4.5C
MAGNet,0.9306930693069306,6C(20%)-4.5C
MAGNet,0.8263027295285359,6C(20%)-4.5C
MAGNet,0.9539800995024876,6C(20%)-4.5C
MAGNet,0.9239401496259352,6C(20%)-4.5C
MAGNet,0.9525,6C(20%)-4.5C
MAGNet,0.9436090225563909,6C(20%)-4.5C
MAGNet,0.9258793969849246,6C(20%)-4.5C
MAGNet,0.8198992443324937,6C(20%)-4.5C
MAGNet,0.8358585858585859,6C(20%)-4.5C
MAGNet,0.8189873417721518,6C(20%)-4.5C
MAGNet,0.8527918781725888,6C(20%)-4.5C
MAGNet,0.7595419847328244,6C(20%)-4.5C
MAGNet,0.8571428571428572,6C(20%)-4.5C
MAGNet,0.8951406649616369,6C(20%)-4.5C
MAGNet,0.882051282051282,6C(20%)-4.5C
MAGNet,0.8200514138817481,6C(20%)-4.5C
MAGNet,0.9394329896907216,6C(20%)-4.5C
MAGNet,0.9056847545219637,6C(20%)-4.5C
MAGNet,0.8367875647668394,6C(20%)-4.5C
MAGNet,0.9558441558441558,6C(20%)-4.5C
MAGNet,0.9166666666666666,6C(20%)-4.5C
MAGNet,0.8146214099216711,6C(20%)-4.5C
MAGNet,0.9227748691099477,6C(20%)-4.5C
MAGNet,0.9146981627296589,6C(20%)-4.5C
MAGNet,0.868421052631579,6C(20%)-4.5C
MAGNet,0.9261213720316623,6C(20%)-4.5C
MAGNet,0.9246031746031746,6C(20%)-4.5C
MAGNet,0.8647214854111406,6C(20%)-4.5C
MAGNet,0.9109042553191489,6C(20%)-4.5C
MAGNet,0.8173333333333334,6C(20%)-4.5C
MAGNet,0.7740641711229946,6C(20%)-4.5C
MAGNet,0.7640750670241288,6C(20%)-4.5C
MAGNet,0.721774193548387,6C(20%)-4.5C
MAGNet,0.7520215633423181,6C(20%)-4.5C
MAGNet,0.8324324324324324,6C(20%)-4.5C
MAGNet,0.8468834688346883,6C(20%)-4.5C
MAGNet,0.9402173913043478,6C(20%)-4.5C
MAGNet,0.837874659400545,6C(20%)-4.5C
MAGNet,0.8510928961748634,6C(20%)-4.5C
MAGNet,0.8890410958904109,6C(20%)-4.5C
MAGNet,0.9368131868131868,6C(20%)-4.5C
MAGNet,0.8388429752066116,6C(20%)-4.5C
MAGNet,0.9171270718232044,6C(20%)-4.5C
MAGNet,0.9404432132963989,6C(20%)-4.5C
MAGNet,0.8791666666666667,6C(20%)-4.5C
MAGNet,0.9289693593314763,6C(20%)-4.5C
MAGNet,0.9245810055865922,6C(20%)-4.5C
MAGNet,0.9327731092436975,6C(20%)-4.5C
MAGNet,0.9143258426966292,6C(20%)-4.5C
MAGNet,0.9323943661971831,6C(20%)-4.5C
MAGNet,0.8968926553672316,6C(20%)-4.5C
MAGNet,0.8555240793201133,6C(20%)-4.5C
MAGNet,0.8210227272727273,6C(20%)-4.5C
MAGNet,0.7934472934472934,6C(20%)-4.5C
MAGNet,0.84,6C(20%)-4.5C
MAGNet,0.825214899713467,6C(20%)-4.5C
MAGNet,0.9367816091954022,6C(20%)-4.5C
MAGNet,0.8876080691642652,6C(20%)-4.5C
MAGNet,0.8222543352601156,6C(20%)-4.5C
MAGNet,0.8579710144927536,6C(20%)-4.5C
MAGNet,0.9113372093023255,6C(20%)-4.5C
MAGNet,0.8367346938775511,6C(20%)-4.5C
MAGNet,0.8055555555555556,6C(20%)-4.5C
MAGNet,0.782991202346041,6C(20%)-4.5C
MAGNet,0.8,6C(20%)-4.5C
MAGNet,0.9203539823008849,6C(20%)-4.5C
MAGNet,0.9452662721893491,6C(20%)-4.5C
MAGNet,0.8991097922848665,6C(20%)-4.5C
MAGNet,0.8482142857142858,6C(20%)-4.5C
MAGNet,0.8582089552238806,6C(20%)-4.5C
MAGNet,0.8293413173652695,6C(20%)-4.5C
MAGNet,0.8453453453453453,6C(20%)-4.5C
MAGNet,0.9563253012048193,6C(20%)-4.5C
MAGNet,0.8595166163141994,6C(20%)-4.5C
MAGNet,0.8469696969696969,6C(20%)-4.5C
MAGNet,0.8297872340425532,6C(20%)-4.5C
MAGNet,0.9314024390243902,6C(20%)-4.5C
MAGNet,0.9449541284403671,6C(20%)-4.5C
MAGNet,0.8726993865030674,6C(20%)-4.5C
MAGNet,0.8753846153846154,6C(20%)-4.5C
MAGNet,0.8641975308641976,6C(20%)-4.5C
MAGNet,0.8281733746130031,6C(20%)-4.5C
MAGNet,0.8322981366459627,6C(20%)-4.5C
MAGNet,0.8364485981308412,6C(20%)-4.5C
MAGNet,0.8515625,6C(20%)-4.5C
MAGNet,0.8260188087774294,6C(20%)-4.5C
MAGNet,0.8710691823899371,6C(20%)-4.5C
MAGNet,0.9400630914826499,6C(20%)-4.5C
MAGNet,0.8876582278481012,6C(20%)-4.5C
MAGNet,0.926984126984127,6C(20%)-4.5C
MAGNet,0.9920382165605095,6C(20%)-4.5C
MAGNet,0.9728434504792332,6C(20%)-4.5C
MAGNet,0.9967948717948718,6C(20%)-4.5C
MAGNet,0.9919614147909968,6C(20%)-4.5C
MAGNet,0.9854838709677419,6C(20%)-4.5C
MAGNet,0.9967637540453074,6C(20%)-4.5C
MAGNet,0.9951298701298701,6C(20%)-4.5C
MAGNet,0.995114006514658,6C(20%)-4.5C
MAGNet,0.9901960784313726,6C(20%)-4.5C
MAGNet,0.9950819672131148,6C(20%)-4.5C
MAGNet,0.993421052631579,6C(20%)-4.5C
MAGNet,0.9620462046204621,6C(20%)-4.5C
MAGNet,0.8956953642384107,6C(20%)-4.5C
MAGNet,0.9833887043189369,6C(20%)-4.5C
MAGNet,0.98,6C(20%)-4.5C
MAGNet,0.9515050167224081,6C(20%)-4.5C
MAGNet,0.9832214765100671,6C(20%)-4.5C
MAGNet,0.9696969696969697,6C(20%)-4.5C
MAGNet,0.9577702702702703,6C(20%)-4.5C
MAGNet,0.9254237288135593,6C(20%)-4.5C
MAGNet,0.9710884353741496,6C(20%)-4.5C
MAGNet,0.984641638225256,6C(20%)-4.5C
MAGNet,0.9948630136986301,6C(20%)-4.5C
MAGNet,0.9948453608247423,6C(20%)-4.5C
MAGNet,0.993103448275862,6C(20%)-4.5C
MAGNet,0.9826989619377162,6C(20%)-4.5C
MAGNet,0.9895833333333333,6C(20%)-4.5C
MAGNet,0.9965156794425087,6C(20%)-4.5C
MAGNet,0.9982517482517482,6C(20%)-4.5C
MAGNet,0.9982456140350877,6C(20%)-4.5C
MAGNet,0.994718309859155,6C(20%)-4.5C
MAGNet,0.9929328621908127,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.9946619217081851,6C(20%)-4.5C
MAGNet,0.9946428571428572,6C(20%)-4.5C
MAGNet,0.9964157706093191,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.9981751824817517,6C(20%)-4.5C
MAGNet,0.9981684981684982,6C(20%)-4.5C
MAGNet,0.9981617647058824,6C(20%)-4.5C
MAGNet,0.9981549815498155,6C(20%)-4.5C
MAGNet,0.9981481481481482,6C(20%)-4.5C
MAGNet,0.9981412639405205,6C(20%)-4.5C
MAGNet,0.9962686567164178,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.998062015503876,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.998015873015873,6C(20%)-4.5C
MAGNet,0.99800796812749,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.9979919678714859,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,1.0,6C(20%)-4.5C
MAGNet,0.9939024390243902,6C(20%)-4.5C
MAGNet,0.9979591836734694,6C(20%)-4.5C
MAGNet,0.9959016393442623,6C(20%)-4.5C
MAGNet,0.9938271604938271,6C(20%)-4.5C
MAGNet,0.9958677685950413,6C(20%)-4.5C
MAGNet,0.9875518672199171,6C(20%)-4.5C
MAGNet,0.9833333333333334,6C(20%)-4.5C
MAGNet,0.993723849372385,6C(20%)-4.5C
MAGNet,0.9936974789915967,6C(20%)-4.5C
MAGNet,0.9915611814345991,6C(20%)-4.5C
