Condition,Average alpha accuracy
6C(52%)-3.5C,0.9143210442345604
6C(40%)-4C,0.9553715999746423
6C(31%)-4.25C,0.9734052410528262
6C(20%)-4.5C,0.9527550785257316
5.6C(65%)-3C,0.8718619660990332
5.6C(58%)-3.5C,0.951303052165444
5.6C(47%)-4C,0.9699775469882435
5.2C(71%)-3C,0.9723805544515141
4C(31%)-5C,0.9692413745040238
4.9C(27%)-4.75C,0.9608152898559487
4.4C(55%)-6C,0.9798122713884716
3.6C(22%)-5.5C,0.9302277942794726
2C(7%)-5.5C,0.7665735507211777
2C(2%)-5C,0.8832107523267219
2C(10%)-6C,0.6198866169715025
1C(4%)-6C,0.730294004242168
