,rmse,cell policy
MAGNet,0.038238398265093565,6C(20%)-4.5C
MAGNet,0.03963503800332546,6C(20%)-4.5C
MAGNet,0.06333913933485746,6C(20%)-4.5C
MAGNet,0.050327243283391,6C(20%)-4.5C
MAGNet,0.05713474564254284,6C(20%)-4.5C
MAGNet,0.03909155214205384,6C(20%)-4.5C
MAGNet,0.045182064175605774,6C(20%)-4.5C
MAGNet,0.036421037279069424,6C(20%)-4.5C
MAGNet,0.043791135773062706,6C(20%)-4.5C
MAGNet,0.04300794284790754,6C(20%)-4.5C
MAGNet,0.028580813203006983,6C(20%)-4.5C
MAGNet,0.030697028152644634,6C(20%)-4.5C
MAGNet,0.027143411338329315,6C(20%)-4.5C
MAGNet,0.030081785283982754,6C(20%)-4.5C
MAGNet,0.02956647053360939,6C(20%)-4.5C
MAGNet,0.02889554714784026,6C(20%)-4.5C
MAGNet,0.0310151819139719,6C(20%)-4.5C
MAGNet,0.05736919213086367,6C(20%)-4.5C
MAGNet,0.033514517825096846,6C(20%)-4.5C
MAGNet,0.036541339941322803,6C(20%)-4.5C
MAGNet,0.056632897816598415,6C(20%)-4.5C
MAGNet,0.032147180289030075,6C(20%)-4.5C
MAGNet,0.034099350683391094,6C(20%)-4.5C
MAGNet,0.05673150811344385,6C(20%)-4.5C
MAGNet,0.03241297323256731,6C(20%)-4.5C
MAGNet,0.0517235416918993,6C(20%)-4.5C
MAGNet,0.09594232402741909,6C(20%)-4.5C
MAGNet,0.06814475823193789,6C(20%)-4.5C
MAGNet,0.08942016586661339,6C(20%)-4.5C
MAGNet,0.037868802435696125,6C(20%)-4.5C
MAGNet,0.032693336717784405,6C(20%)-4.5C
MAGNet,0.035623674746602774,6C(20%)-4.5C
MAGNet,0.03860200894996524,6C(20%)-4.5C
MAGNet,0.03667956916615367,6C(20%)-4.5C
MAGNet,0.05962042324244976,6C(20%)-4.5C
MAGNet,0.04261983558535576,6C(20%)-4.5C
MAGNet,0.03395281173288822,6C(20%)-4.5C
MAGNet,0.03604834945872426,6C(20%)-4.5C
MAGNet,0.02798455161973834,6C(20%)-4.5C
MAGNet,0.034572141245007515,6C(20%)-4.5C
MAGNet,0.06520573236048222,6C(20%)-4.5C
MAGNet,0.02811178844422102,6C(20%)-4.5C
MAGNet,0.03558688843622804,6C(20%)-4.5C
MAGNet,0.02883080067113042,6C(20%)-4.5C
MAGNet,0.030365117825567722,6C(20%)-4.5C
MAGNet,0.03394815418869257,6C(20%)-4.5C
MAGNet,0.07033572532236576,6C(20%)-4.5C
MAGNet,0.06172581855207682,6C(20%)-4.5C
MAGNet,0.070507338270545,6C(20%)-4.5C
MAGNet,0.05379655119031668,6C(20%)-4.5C
MAGNet,0.09142069891095161,6C(20%)-4.5C
MAGNet,0.05109899118542671,6C(20%)-4.5C
MAGNet,0.03937207628041506,6C(20%)-4.5C
MAGNet,0.04127924609929323,6C(20%)-4.5C
MAGNet,0.06657823733985424,6C(20%)-4.5C
MAGNet,0.030250492971390486,6C(20%)-4.5C
MAGNet,0.035842328798025846,6C(20%)-4.5C
MAGNet,0.059301694855093956,6C(20%)-4.5C
MAGNet,0.026978463865816593,6C(20%)-4.5C
MAGNet,0.03299544798210263,6C(20%)-4.5C
MAGNet,0.06959612481296062,6C(20%)-4.5C
MAGNet,0.033433431293815374,6C(20%)-4.5C
MAGNet,0.034438508097082376,6C(20%)-4.5C
MAGNet,0.04660578723996878,6C(20%)-4.5C
MAGNet,0.03175069019198418,6C(20%)-4.5C
MAGNet,0.03316009184345603,6C(20%)-4.5C
MAGNet,0.04823405295610428,6C(20%)-4.5C
MAGNet,0.035494472831487656,6C(20%)-4.5C
MAGNet,0.0641949512064457,6C(20%)-4.5C
