scaled_SOH,First principal component,Second principal component
0.9994167550906663,-6.931403,-6.194352
0.9994331219355328,-6.8314257,-6.376185
0.9994366322361499,-6.8927665,-6.5816827
0.9994232843589987,-6.946194,-6.464672
0.9993774866733459,-6.773053,-6.6933894
0.9993844090079993,-6.732821,-6.4907765
0.9993895680034625,-6.4041433,-6.873153
0.9994136378563703,-6.8007455,-6.9011016
0.9994104223554943,-6.5349526,-6.6654444
0.9994203581986089,-6.510779,-6.9276834
0.9994250367796799,-6.5687623,-6.772781
0.9993899610697835,-6.6249905,-6.884756
0.9994364357029893,-6.5308237,-6.9582396
0.9993858666289397,-6.346803,-6.8632693
0.9993791462867011,-6.5090513,-7.1436725
0.9993926906970128,-6.4286275,-6.5615015
0.9993743694390498,-6.467594,-6.656222
0.9993421216229632,-6.0766916,-7.2147818
0.9993012918588677,-6.138905,-7.249918
0.9992765450584074,-6.176219,-7.3202643
0.9992448813825476,-6.0902348,-7.0059075
0.9992043464181928,-5.8707104,-6.9397984
0.9991795013511519,-6.02214,-6.652624
0.9991658586742601,-6.100359,-6.727915
0.9991710231289779,-5.648185,-7.036901
0.9991671252212944,-6.135714,-6.8642206
0.9991512442500743,-5.891918,-6.6324153
0.9990782649364727,-6.090313,-6.951308
0.9991107092857197,-5.639046,-7.446351
0.9990980438153758,-5.691596,-7.2665114
0.9992432217691921,-5.955367,-7.1443486
0.9995963263475715,-7.649186,-6.2082
0.9997520297439837,-7.7194095,-5.8808846
0.9999110414485979,-7.7585745,-5.6929216
1.0,-7.933138,-5.841516
0.9999157200296689,-8.75931,-4.68929
0.9991673217544549,-6.898353,-6.166358
0.9989883346377768,-5.8156276,-6.501265
0.9989566655026627,-5.6675377,-6.915096
0.998920809119379,-5.5284343,-7.061707
0.9988638090435772,-5.1360335,-7.051558
0.9988662493303202,-5.2654448,-7.015268
0.9988224988650893,-5.4769464,-6.5711203
0.9987736822117208,-5.4419813,-6.9394717
0.9987411395958935,-5.543008,-7.211215
0.998710644200488,-5.187078,-7.1147566
0.9987098635271006,-5.09315,-7.05615
0.998643413481831,-4.700605,-7.5036063
0.9986068746917399,-4.4451137,-7.7037435
0.9985681958739011,-5.0801406,-7.4414983
0.9985150937057827,-5.1895847,-7.45169
0.998452345035036,-4.8204856,-7.469327
0.9984215548398898,-5.0725746,-7.6017575
0.9983874508772872,-4.67527,-7.802106
0.998294501610876,-4.3800917,-7.3643875
0.998337957276366,-4.2483406,-7.116739
0.9982979081856581,-4.333807,-7.0663047
0.9982468532379618,-4.313427,-7.2487473
0.9982479232518355,-4.116989,-6.931044
0.9981853711142494,-4.278051,-7.2341914
0.9981802066595318,-4.32131,-7.2887487
0.9981219400366956,-4.282438,-7.1759844
0.9981358775133282,-4.0500755,-7.2310605
0.9980387300802385,-4.0505853,-7.119744
0.9980243121892133,-4.2023582,-7.066356
0.9979879699322827,-3.7227886,-7.0966325
0.9979485049818018,-3.6509056,-6.980087
0.9979058299896995,-3.6367562,-6.824684
0.9978616919174018,-3.7267222,-6.9801655
0.9978209658791412,-3.4826655,-6.769876
0.9978055707815681,-3.6777236,-7.10205
0.9977783836943643,-3.6951153,-6.7602963
0.9977310355804454,-3.5729773,-6.6851716
0.9977210942780763,-3.622034,-6.6063437
0.9976829996004646,-3.8606114,-6.7045336
0.9976323322598348,-3.7803917,-6.7130194
0.997617133695422,-3.4785597,-6.4143453
0.9975738691038382,-3.590738,-6.6771665
0.9974964077423257,-3.350798,-6.5674505
0.9974563641108722,-3.5599844,-6.6628704
0.9974254756491457,-3.8473654,-6.3221307
0.9973819217170754,-3.580585,-6.361058
0.997337783644778,-4.073898,-6.3181
0.9973080689227602,-3.5182211,-6.276919
0.9972563315682564,-3.696417,-6.1586266
0.9971974808051932,-3.6717596,-6.482345
