,cycles,A_peak(mAh),B_peak(mAh),C_peak(mAh),BC_valley
0,1.0,1144.3892509073214,1699.3892509073214,2596.3892509073216,2187.3892509073216
1,2.0,1178.9394064364285,1693.9394064364285,2592.9394064364283,2185.9394064364283
2,3.0,1187.3242060346815,1696.3242060346815,2592.3242060346815,2174.3242060346815
3,4.0,1199.6991735254574,1699.699173525457,2587.699173525456,2184.6991735254564
4,5.0,1196.3497279218886,1684.3497279218886,2585.3497279218886,2172.3497279218886
5,6.0,1205.2876097258843,1687.2876097258843,2581.2876097258845,2174.2876097258845
6,7.0,1203.208495550537,1683.208495550537,2577.208495550537,2173.208495550537
7,8.0,1205.4078132873535,1689.4078132873535,2574.4078132873533,2165.4078132873533
8,9.0,1201.3597567156305,1671.3597567156305,2569.3597567156303,2156.3597567156303
9,10.0,1211.1603807679578,1681.1603807679578,2568.160380767958,2158.160380767958
10,11.0,1205.2075418197971,1686.2075418197971,2562.207541819797,2153.207541819797
11,12.0,1202.179145413208,1675.179145413208,2559.179145413208,2151.179145413208
12,13.0,1208.2026640606011,1686.2026640606011,2556.202664060601,2146.202664060601
13,14.0,1204.3331251605903,1679.3331251605903,2551.3331251605905,2141.3331251605905
14,15.0,1194.397908695204,1669.397908695204,2546.397908695204,2134.397908695204
15,16.0,1186.3461459364828,1658.3461459364828,2540.3461459364826,2127.3461459364826
16,17.0,1191.418091585829,1664.418091585829,2538.418091585829,2122.418091585829
17,18.0,1179.6090720576308,1658.6090720576308,2532.609072057631,2118.609072057631
18,19.0,1178.6206627766926,1641.6206627766926,2526.620662776693,2107.620662776693
19,20.0,1171.8081808427598,1640.8081808427598,2521.80818084276,2105.80818084276
20,21.0,1169.0300432980687,1641.0300432980687,2516.0300432980684,2102.0300432980684
21,22.0,1179.0780310989041,1651.0780310989041,2510.078031098904,2090.078031098904
22,23.0,1154.3108713405354,1623.3108713405354,2502.3108713405354,2081.3108713405354
23,24.0,1137.370357707316,1637.370357707316,2497.370357707316,2076.370357707316
24,25.0,1130.6215833460828,1638.6215833460828,2490.621583346083,2078.621583346083
25,26.0,1157.0585419194201,1651.0585419194201,2514.05854191942,2097.05854191942
26,27.0,1127.8160151697464,1608.8160151697468,2478.816015169748,2064.8160151697475
27,28.0,1116.0988324107539,1636.0988324107543,2471.098832410755,2049.0988324107548
28,29.0,1103.3197756662996,1622.3197756662992,2464.319775666298,2047.3197756662987
29,30.0,1092.3272633711751,1606.3272633711751,2460.327263371175,2046.3272633711751
30,31.0,1099.3671410606553,1599.3671410606553,2455.3671410606553,2041.3671410606553
31,32.0,1087.393412641737,1585.393412641737,2448.393412641737,2023.393412641737
32,33.0,1077.4319496890598,1601.4319496890598,2442.43194968906,2022.4319496890598
33,34.0,1071.4187303599717,1585.4187303599717,2436.418730359972,2026.4187303599717
34,35.0,1073.532454931505,1600.532454931505,2430.532454931505,2017.532454931505
35,36.0,1066.5332918501113,1577.5332918501113,2427.5332918501113,2010.5332918501113
36,37.0,1058.6127615256075,1587.6127615256075,2421.6127615256078,2004.6127615256075
37,38.0,1047.6731495903862,1583.6731495903862,2415.6731495903864,1992.6731495903862
